NN1:,0.6286
NN1p:,0.5979
NN2:,0.817
NN2p:,0.7934
Para:,0.9795

Number of evaluation data: ,10000
Total number of correct results:,9795
Number of results when both subnetworks are right:,4205
Number of results when only network1 is wrong:,3679
Number of results when only network2 is wrong:,1736
Number of results when both subnetworks are wrong but the combined network is right:,175

Detailed results when both subnetworks are wrong:,
Parallel network,Network 1,Network 2
4,9,2
0,2,6
7,3,9
0,2,6
0,2,6
3,4,9
7,8,9
0,8,6
0,5,6
0,2,6
7,3,4
0,4,9
1,2,3
0,2,6
5,8,6
6,8,5
2,7,3
7,8,1
7,3,9
0,2,6
7,3,9
7,3,9
0,2,6
7,3,9
7,3,9
0,2,6
6,1,5
3,7,9
4,9,2
0,2,6
2,7,1
4,9,7
0,2,6
7,3,1
0,2,6
3,7,9
7,8,1
0,8,6
0,2,6
7,8,1
2,5,9
0,2,6
8,6,3
0,2,6
4,9,1
2,7,9
0,2,6
0,2,6
5,9,6
2,7,1
2,6,4
7,3,9
8,6,3
5,3,6
0,2,6
0,2,6
4,8,6
7,8,9
5,8,6
0,2,6
5,4,9
0,2,6
6,2,3
0,2,6
0,2,6
0,2,6
7,3,9
9,4,7
7,3,9
4,9,7
0,5,6
0,2,6
0,2,6
0,2,9
9,8,7
3,7,9
3,8,9
0,2,6
4,8,1
7,3,9
0,2,6
7,8,9
4,8,1
0,1,6
0,2,6
0,2,6
4,8,1
7,8,9
7,5,1
5,3,6
7,8,9
0,2,6
0,2,6
4,3,6
2,5,4
7,3,9
0,2,6
7,5,4
0,2,6
4,5,9
7,3,9
6,9,0
0,2,6
4,9,7
7,3,9
2,7,9
7,3,9
7,3,9
0,2,6
4,8,7
8,1,3
7,3,9
5,2,6
9,8,2
6,1,5
0,9,6
4,8,6
3,4,9
6,3,0
5,4,9
7,3,9
7,3,9
7,2,9
0,2,6
4,9,7
4,8,1
0,5,6
3,7,9
0,2,6
0,2,6
0,2,6
2,7,9
2,7,3
1,8,3
7,3,9
0,8,9
0,2,6
2,7,9
5,4,9
7,3,9
0,2,6
7,3,9
0,2,6
9,4,7
0,2,6
0,2,6
0,2,6
0,2,6
7,3,9
7,3,1
0,2,9
9,4,7
2,7,9
0,2,6
7,3,9
0,5,9
7,3,9
5,8,6
0,2,6
3,5,9
0,2,6
0,2,6
3,5,9
0,2,9
3,7,9
3,2,9
1,8,3
0,2,6
4,8,1
0,8,6
7,8,9
7,3,9
0,2,6
0,2,6
0,2,6
