NN1:,0.2067
NN1p:,0.6071
NN2:,0.4289
NN2p:,0.7299
Para:,0.9789

Number of evaluation data: ,10000
Total number of correct results:,9789
Number of results when both subnetworks are right:,4551
Number of results when only network1 is wrong:,2717
Number of results when only network2 is wrong:,1484
Number of results when both subnetworks are wrong but the combined network is right:,1037

Detailed results when both subnetworks are wrong:,
Parallel network,Network 1,Network 2
5,3,0
5,3,0
9,7,4
9,7,4
9,7,4
5,3,0
9,7,4
5,6,0
9,7,4
9,7,4
5,3,0
9,7,4
9,7,4
5,3,0
5,3,0
9,7,4
9,7,4
9,7,4
5,3,6
5,3,0
9,7,4
5,8,0
9,7,4
5,3,9
5,3,0
9,7,4
5,3,0
9,7,4
5,3,0
9,7,4
5,7,0
8,6,4
5,3,0
5,3,0
2,8,7
9,7,4
5,3,0
1,6,2
5,3,0
9,3,4
5,3,0
5,3,0
5,3,0
9,7,4
5,3,0
9,7,4
5,3,0
9,7,4
9,7,4
5,3,0
9,7,4
9,7,8
9,7,4
9,7,4
5,3,0
9,7,4
9,7,4
9,7,4
5,3,0
5,3,4
5,3,0
5,3,0
9,7,4
9,7,4
9,7,4
5,3,0
9,7,4
3,5,0
9,7,4
9,7,4
9,7,4
9,3,4
5,3,0
5,3,0
5,3,0
9,7,4
5,3,0
9,3,4
9,7,4
2,0,7
5,3,0
9,7,4
9,7,4
5,3,9
9,7,4
9,7,4
9,7,4
9,7,4
5,3,0
5,3,0
9,7,4
5,3,0
9,3,8
5,3,0
5,3,0
9,7,4
5,3,0
5,3,0
5,3,0
5,3,9
9,7,4
9,7,4
5,3,0
9,7,4
5,3,0
5,3,0
5,3,0
5,3,0
9,7,4
5,3,0
5,3,0
5,3,0
9,7,4
9,7,4
5,3,6
9,7,4
9,7,4
5,3,0
9,7,4
9,7,4
5,3,4
5,3,9
9,7,4
9,7,4
5,3,0
5,3,0
9,7,4
9,8,4
5,3,0
5,3,0
9,7,4
9,7,4
5,3,0
9,7,4
9,7,4
5,3,0
5,3,0
9,7,4
5,3,9
5,3,0
5,3,0
5,3,0
5,3,0
5,3,0
5,3,0
5,3,0
5,3,4
9,7,4
5,3,0
9,7,4
5,3,0
5,3,0
9,7,4
9,7,4
5,3,0
5,3,0
5,3,0
5,3,0
5,3,0
5,3,0
9,7,4
9,7,4
9,7,4
5,3,0
5,3,0
9,7,4
9,7,4
9,7,4
9,7,4
5,3,0
9,7,4
9,7,4
9,7,4
9,7,4
5,3,0
5,3,0
9,7,4
9,7,4
9,7,4
5,3,0
5,3,0
9,7,4
5,3,0
5,8,0
5,3,0
9,7,4
5,3,0
5,3,0
5,3,4
5,3,0
9,7,4
5,3,0
9,7,4
9,7,4
9,7,4
9,7,4
5,3,0
5,3,0
5,3,0
5,3,0
5,3,0
5,3,0
9,7,4
5,3,0
9,3,4
9,7,4
9,7,4
5,3,0
5,3,6
5,3,0
9,7,4
9,3,4
5,3,0
5,3,0
3,8,7
9,7,4
5,3,0
9,7,4
5,3,0
5,3,0
9,7,4
5,3,0
8,6,0
9,7,4
5,3,0
5,3,4
9,7,4
9,7,4
9,7,4
9,7,4
9,7,4
9,7,4
5,3,0
9,7,4
5,3,9
9,7,4
5,3,0
9,7,4
9,8,4
5,6,0
5,3,9
5,3,0
5,3,0
9,7,4
9,7,4
9,7,4
9,7,4
5,3,0
9,7,4
9,7,4
9,7,4
5,3,0
5,3,0
9,7,4
5,3,0
9,7,4
5,3,0
5,3,0
9,7,4
5,3,6
5,3,0
9,7,4
5,3,0
9,7,4
5,3,0
9,7,4
5,3,0
5,3,0
9,7,4
5,3,0
5,3,0
9,7,4
5,3,0
9,7,4
5,3,0
5,3,0
9,7,4
9,7,4
9,7,4
9,7,4
9,7,4
3,8,7
5,3,9
5,3,0
5,3,7
5,3,0
9,7,4
9,7,4
9,7,4
5,3,0
5,3,0
9,7,4
3,5,0
9,7,4
5,3,0
5,6,0
9,7,4
5,3,0
5,3,4
5,3,0
9,7,4
5,3,0
9,7,4
5,3,0
9,7,4
9,7,4
9,7,4
5,3,0
5,6,4
5,3,0
5,3,0
5,3,0
5,3,0
9,7,4
5,3,0
3,9,7
9,7,4
9,7,4
3,5,7
5,3,0
9,7,4
2,7,6
5,3,0
5,3,0
9,7,4
5,3,6
9,7,4
9,7,4
5,3,0
9,7,4
5,3,0
9,7,4
5,3,0
5,3,0
5,3,4
5,3,4
9,7,4
9,7,4
5,3,0
9,7,4
5,3,4
9,7,4
9,7,4
9,7,4
9,7,4
9,7,4
5,3,4
9,7,4
9,7,4
9,7,4
9,7,4
9,7,4
5,3,0
5,3,0
9,7,4
9,8,4
5,3,0
5,3,0
9,7,4
5,3,0
9,7,4
5,3,0
9,7,4
9,7,4
9,7,4
9,7,4
6,4,0
5,3,0
5,3,0
5,3,0
5,3,0
5,3,0
9,7,4
9,7,4
5,3,0
5,3,0
9,7,4
5,3,0
9,7,4
9,7,4
5,3,0
9,7,4
5,3,0
9,7,4
5,3,0
5,3,0
5,3,0
9,7,4
9,3,4
5,6,0
5,3,0
5,8,0
5,3,0
9,7,4
9,7,4
5,3,0
5,3,0
5,3,0
9,7,4
9,7,4
5,3,0
9,7,1
5,3,0
9,7,4
5,3,0
5,3,9
5,3,4
9,7,4
5,3,0
9,7,4
5,3,0
9,7,4
9,7,4
5,3,4
9,7,4
5,3,0
9,7,4
5,3,0
5,3,0
5,3,0
5,3,0
5,3,0
9,7,4
9,7,4
9,7,4
9,7,4
5,3,9
5,3,9
9,8,6
5,3,9
8,3,0
5,3,4
5,3,0
5,3,0
9,7,4
9,7,4
5,3,0
5,3,0
9,7,4
5,3,0
5,3,9
9,7,4
9,7,4
9,7,4
9,7,4
9,7,4
9,7,4
9,7,4
9,7,4
5,3,0
5,3,0
5,3,0
9,7,4
9,7,4
9,7,4
9,7,4
5,3,0
5,3,6
9,7,4
5,3,4
5,3,0
5,3,0
9,7,4
5,3,0
9,7,4
5,3,0
9,7,4
5,3,4
9,7,4
9,3,4
9,3,4
9,7,4
9,3,4
1,3,9
5,3,0
9,7,4
5,3,0
9,7,4
5,3,0
9,7,4
4,6,9
5,3,0
9,7,4
9,3,4
9,7,4
9,7,4
5,3,0
9,7,4
5,3,0
9,7,4
9,7,4
9,3,4
5,3,4
5,3,0
9,7,4
9,7,4
5,3,0
5,3,0
9,7,4
5,3,0
9,7,4
9,7,4
9,7,4
5,3,0
5,3,0
5,3,6
5,3,4
9,7,4
5,3,0
5,7,0
6,3,0
5,3,0
9,7,4
8,3,0
9,7,4
9,7,4
9,7,4
9,7,4
5,3,0
5,3,0
9,7,4
9,7,4
9,7,4
9,7,4
9,7,4
5,3,6
9,3,4
9,7,4
9,7,4
9,7,4
9,7,4
5,3,0
9,7,4
5,3,4
9,7,4
9,7,4
9,7,4
5,3,0
5,3,0
5,3,0
9,7,4
5,3,9
9,7,4
5,3,0
9,7,4
9,7,4
9,7,4
5,3,0
5,3,0
9,3,4
5,3,0
5,3,0
5,3,0
5,3,0
9,7,4
5,3,0
9,7,4
5,3,0
5,3,0
5,3,0
9,7,4
5,3,0
5,3,6
5,3,0
8,7,4
5,3,4
5,8,0
5,3,4
5,3,0
5,3,4
5,3,0
9,7,4
9,7,4
9,7,4
5,3,0
9,7,4
5,8,0
9,3,4
9,7,4
9,7,4
9,7,4
5,3,0
9,7,4
9,3,4
9,7,4
5,3,0
9,7,4
9,7,4
5,3,0
5,3,0
5,3,0
5,3,0
5,3,0
5,3,0
9,7,4
9,3,4
9,7,4
9,8,4
5,3,0
5,3,0
5,3,0
5,3,0
3,5,7
9,7,4
9,7,4
9,7,4
3,5,7
5,3,0
5,3,0
9,7,4
5,8,6
9,7,4
5,3,0
5,3,4
5,3,0
5,3,0
5,3,0
9,7,4
5,3,0
9,7,4
9,7,4
5,3,0
9,7,4
9,7,4
9,7,4
5,3,0
5,3,0
9,7,4
9,7,4
5,3,0
5,3,0
9,7,4
5,3,0
6,3,0
9,7,4
9,3,4
9,7,4
9,7,4
9,7,4
5,3,0
5,3,0
6,4,0
9,7,4
3,8,2
9,7,4
9,7,4
9,7,4
9,7,4
5,3,4
9,6,4
9,7,4
9,7,4
9,8,4
9,7,4
5,3,0
5,3,0
5,3,0
9,7,4
5,3,0
5,3,0
5,3,0
7,3,0
5,3,0
5,3,4
5,3,0
5,3,0
9,7,4
9,7,4
5,3,0
9,7,4
9,7,4
5,3,0
5,3,0
5,3,0
9,7,4
5,3,4
9,7,4
5,3,0
9,7,4
9,7,4
2,8,7
9,7,4
9,7,4
5,3,4
9,7,4
5,3,0
5,3,0
5,3,0
9,7,4
9,7,4
5,3,0
9,7,4
5,3,0
5,3,0
5,3,0
5,3,0
5,3,0
9,7,4
5,3,0
5,3,0
5,3,0
9,7,4
5,3,0
5,3,0
5,3,0
5,3,4
9,7,4
5,3,0
5,6,9
5,3,0
5,3,0
9,7,4
9,7,4
5,3,0
3,9,7
9,7,4
9,7,4
8,3,1
9,7,4
9,7,4
9,7,4
9,7,4
5,3,9
5,3,0
5,3,0
9,7,4
9,7,4
5,3,4
5,3,0
9,7,4
7,3,0
5,3,0
5,3,0
5,3,0
9,7,4
5,3,0
5,3,0
9,7,4
5,3,4
5,3,0
9,7,4
5,3,6
9,7,4
9,7,4
5,3,0
5,3,0
5,3,0
9,7,4
5,3,0
9,3,4
5,3,0
9,7,4
5,3,0
5,3,0
5,3,0
5,3,0
9,7,4
9,7,4
9,7,4
9,3,4
5,3,0
9,7,4
9,7,4
5,3,4
9,7,4
9,7,4
5,3,0
3,5,4
5,3,0
9,7,4
9,7,4
9,7,4
9,7,4
5,3,0
9,7,4
5,3,0
9,7,4
5,3,0
3,5,2
5,3,0
9,7,4
9,7,4
2,3,0
9,7,4
9,7,4
5,3,9
9,7,4
9,7,4
9,7,4
9,3,4
9,7,4
9,7,4
9,7,4
9,3,4
5,3,0
9,7,4
9,7,4
9,7,4
5,3,0
5,3,0
5,3,0
9,7,4
5,3,0
5,3,0
5,3,0
5,3,0
5,3,0
5,3,0
9,7,4
9,7,4
9,7,4
9,7,4
5,3,0
5,3,0
5,3,0
9,7,4
5,3,0
9,7,4
5,3,0
9,7,4
9,7,4
9,7,4
5,3,0
9,7,4
5,3,0
9,7,4
9,7,4
9,7,4
9,7,4
9,7,4
9,7,4
9,7,4
9,7,4
9,7,4
5,3,9
5,3,0
9,7,4
5,3,0
5,3,0
9,7,4
9,7,4
5,3,0
9,7,4
9,7,4
9,7,4
9,7,4
5,3,0
5,3,0
9,7,4
9,7,4
5,3,0
5,3,0
9,7,4
9,7,4
9,7,4
9,7,4
9,7,4
5,3,0
5,3,0
9,7,4
9,7,4
9,7,4
9,7,4
5,3,0
9,3,8
9,7,4
2,0,4
5,3,0
9,7,4
5,3,9
5,3,9
9,7,4
5,3,0
9,7,4
5,3,9
9,7,4
0,8,4
9,7,4
9,7,4
9,7,4
5,3,0
5,3,0
5,3,4
9,7,4
5,3,4
9,7,4
9,7,4
5,3,0
9,7,4
5,3,0
5,3,0
5,3,0
9,7,4
9,7,4
9,7,4
4,6,0
5,3,0
5,3,0
5,3,4
9,7,4
5,3,0
9,3,4
5,3,0
5,3,0
9,3,4
5,3,0
5,3,0
5,3,0
5,3,0
9,3,4
5,3,0
9,7,4
9,7,4
5,3,0
9,7,4
9,7,4
5,3,0
5,3,0
9,7,4
9,7,4
5,3,0
9,7,4
9,7,4
5,6,4
9,7,4
9,7,4
9,7,4
9,7,4
5,6,0
9,7,4
9,7,4
9,7,4
9,3,4
5,3,0
9,7,4
5,3,0
9,7,4
5,3,0
9,7,4
5,3,0
5,3,0
5,3,9
9,7,4
5,3,0
5,3,0
9,7,4
9,7,4
9,7,4
5,3,9
9,7,4
5,3,0
9,7,4
9,7,4
5,3,0
5,3,0
5,3,4
8,3,4
9,7,4
5,3,4
9,3,4
9,7,4
3,5,7
5,3,4
1,3,7
5,3,0
5,3,0
5,3,0
8,6,0
5,3,0
4,6,9
9,7,4
9,7,4
5,3,0
5,3,0
5,3,0
9,7,4
9,7,4
9,7,4
5,3,0
9,7,4
5,3,0
9,7,4
9,7,4
5,3,0
9,7,4
5,3,0
5,3,0
5,3,0
9,7,4
9,7,4
5,3,0
5,3,0
5,3,0
5,3,0
9,7,4
5,3,0
9,7,4
5,3,0
5,3,0
5,3,0
9,7,4
9,7,4
5,3,0
5,3,0
9,7,4
9,7,4
9,7,4
9,7,4
9,7,4
9,7,4
5,3,0
5,3,0
9,7,4
9,7,4
5,3,0
5,3,0
9,7,4
5,3,9
5,3,0
9,7,4
5,3,9
