Accuracy on the validation data,0.7558

Number of Type I results,58
Number of Type II results,994
Number of Type III results,411
Number of Type IV results,6095

Ratio of Type IV results to correct results,0.806430272558878

Details of Type IV results
Input index,rp,r1,r2
0,3,9,5
1,8,3,9
2,8,3,9
3,0,3,9
4,6,9,3
5,6,9,3
6,1,2,8
7,6,3,2
8,3,9,2
9,1,9,5
12,5,2,6
15,8,7,4
16,5,0,8
18,8,6,9
19,6,2,2
21,0,7,2
22,4,5,1
23,9,4,5
25,2,5,1
26,4,5,6
27,0,7,2
29,6,9,3
30,6,1,1
36,4,0,5
38,9,6,5
39,5,9,8
46,3,5,2
47,9,4,3
48,7,6,5
51,8,4,9
53,3,5,8
54,8,3,9
55,8,3,5
56,7,0,2
60,7,6,1
62,6,2,8
63,3,4,2
65,2,0,8
66,1,2,9
67,2,1,3
68,3,9,8
69,7,3,9
70,2,7,5
71,6,0,8
72,8,3,2
73,8,3,0
74,0,1,5
75,2,8,1
77,3,5,9
79,8,3,5
80,8,3,1
81,1,6,9
82,1,2,6
83,7,0,2
84,2,0,8
85,5,9,1
86,2,7,8
88,8,6,5
89,9,6,5
90,0,1,5
92,8,3,9
93,6,2,1
94,4,5,0
96,6,7,8
99,7,5,8
100,4,5,8
102,6,4,8
104,1,3,9
105,1,2,9
108,8,5,9
109,7,0,6
110,4,5,5
111,0,3,2
113,2,8,3
114,1,2,9
117,4,5,2
120,8,2,2
121,3,4,6
122,1,2,8
123,2,8,1
124,8,3,2
125,0,1,7
126,8,3,3
127,3,5,2
129,2,0,9
131,1,3,8
132,8,3,0
137,7,0,3
138,2,0,1
140,6,0,5
141,5,9,2
144,8,9,9
147,2,0,1
148,5,9,8
149,2,0,9
150,8,9,9
152,6,0,9
155,5,9,6
156,2,0,3
159,4,5,3
160,2,0,3
161,1,6,6
163,6,9,1
166,8,9,9
167,4,6,2
170,9,6,5
171,9,6,5
174,9,7,8
177,7,5,5
178,5,9,3
179,0,3,5
180,0,3,5
183,2,1,9
185,8,3,4
190,5,6,2
193,1,3,6
194,7,0,3
196,8,9,9
197,8,3,2
198,7,0,6
199,8,9,9
200,5,9,3
202,8,9,3
203,7,0,8
204,1,7,9
206,0,7,3
208,7,0,5
212,5,2,4
213,9,1,5
214,8,0,2
219,2,0,5
220,7,3,6
221,6,7,3
223,4,5,1
225,9,6,5
229,6,5,9
230,5,9,6
231,1,6,9
232,5,4,6
233,8,9,4
234,8,3,9
236,4,5,2
240,1,2,4
241,1,4,9
242,8,3,9
244,0,5,3
245,3,5,6
246,1,2,8
249,2,7,6
251,3,9,8
252,9,4,7
253,9,1,7
257,0,8,9
259,9,6,7
260,8,9,5
261,1,3,5
264,0,7,5
265,8,5,5
266,2,7,4
267,4,0,3
268,7,0,5
271,3,0,6
273,3,0,6
274,8,9,5
276,0,3,9
278,4,0,5
280,9,1,8
281,0,8,5
282,6,9,5
283,1,2,9
285,9,6,5
286,1,7,9
288,7,3,4
290,1,2,9
294,3,9,4
295,4,5,1
296,6,2,1
298,0,7,8
299,6,0,1
300,6,9,3
303,2,8,9
304,6,9,0
305,1,3,9
307,2,8,1
310,8,9,9
311,6,0,2
313,0,8,2
314,4,0,5
316,7,3,2
317,7,5,5
318,5,9,6
319,5,9,4
320,3,9,2
321,5,2,6
322,2,0,6
324,4,0,3
326,7,0,1
327,5,4,3
328,4,0,3
329,6,9,2
330,1,6,6
331,9,4,5
332,3,9,5
333,6,9,1
334,6,9,5
336,3,9,5
337,8,7,9
339,7,6,5
341,6,2,8
342,2,0,0
344,8,7,5
345,5,9,6
347,6,5,3
348,8,9,4
350,9,1,8
351,1,2,5
352,0,3,9
353,2,0,3
357,2,0,8
359,0,1,5
360,9,6,3
361,5,2,2
362,8,3,5
363,1,6,9
364,9,6,5
365,4,1,9
369,1,4,8
371,7,0,5
373,4,5,5
375,7,0,2
377,7,6,5
379,6,4,3
380,6,9,2
382,0,7,3
386,7,0,5
387,2,7,1
389,5,4,3
391,2,8,3
392,6,0,1
394,9,4,8
395,6,2,2
396,2,5,8
397,3,7,9
398,0,1,9
401,8,3,2
402,7,3,2
403,8,5,9
404,8,3,5
405,4,9,0
406,0,7,3
408,8,3,3
409,2,9,3
410,7,9,8
411,9,1,4
414,1,2,9
416,0,6,3
418,3,0,8
419,7,0,1
420,4,7,6
421,5,0,3
429,6,2,3
431,5,9,2
433,7,1,2
435,7,1,3
440,1,7,9
441,4,5,6
444,5,9,3
445,7,6,3
449,2,0,3
452,7,0,5
454,9,7,5
458,4,0,6
460,5,0,6
461,6,9,5
462,1,2,9
463,4,0,2
464,3,9,5
465,4,0,2
466,4,2,3
467,3,4,5
470,3,0,1
471,7,6,9
472,8,3,9
475,7,8,5
476,6,1,5
479,4,6,5
480,8,3,2
481,6,9,3
482,8,9,1
486,9,4,5
487,9,6,5
490,1,7,9
491,0,7,5
492,8,3,5
493,1,2,6
494,1,2,9
495,8,3,9
496,0,7,8
497,2,0,3
498,2,5,3
499,0,1,2
500,4,3,1
501,6,9,5
505,4,6,5
506,7,0,8
507,9,4,8
508,9,4,2
509,4,5,0
510,5,9,4
511,6,9,5
512,6,2,3
513,1,2,0
514,5,9,6
515,3,0,5
516,8,9,9
517,9,4,2
518,5,0,8
521,7,0,8
522,0,5,2
523,7,3,9
524,0,7,4
525,5,9,2
526,0,6,2
527,0,7,8
535,6,0,1
536,6,9,1
540,1,2,9
542,6,7,2
