Accuracy on the validation data,0.7559

Number of Type I results,77
Number of Type II results,1047
Number of Type III results,515
Number of Type IV results,5920

Ratio of Type IV results to correct results,0.7831723772985845

Details of Type IV results
Input index,rp,r1,r2
0,3,7,4
2,8,2,4
4,6,1,9
5,6,2,4
7,6,4,3
8,3,2,0
10,0,3,8
11,9,5,2
13,7,3,4
14,9,2,4
15,8,2,9
16,5,2,3
17,7,1,3
18,8,7,9
19,6,2,9
20,7,8,6
21,0,9,6
22,4,7,0
23,9,5,3
25,2,6,1
27,0,2,9
28,9,6,8
29,6,9,1
30,6,8,3
34,9,7,8
36,4,0,6
37,1,4,9
38,9,5,6
40,4,0,8
41,6,8,3
43,6,9,8
46,3,2,5
48,7,0,5
49,6,4,5
54,8,7,9
55,8,7,9
58,4,9,5
60,7,0,5
62,6,0,8
64,6,1,1
65,2,5,9
66,1,9,9
67,2,6,8
69,7,1,9
71,6,5,4
72,8,7,0
73,8,7,0
74,0,5,8
75,2,5,5
77,3,2,8
80,8,2,9
83,7,0,9
84,2,8,8
85,5,1,3
86,2,4,9
89,9,5,8
92,8,7,0
93,6,2,5
94,4,5,5
95,6,3,9
99,7,2,1
100,4,5,6
101,5,1,1
102,6,9,1
103,3,1,9
104,1,7,4
105,1,8,9
107,6,9,9
108,8,7,9
109,7,0,8
110,4,0,7
111,0,9,1
113,2,3,9
117,4,5,3
118,2,3,8
119,7,5,6
120,8,6,0
121,3,7,8
122,1,7,2
124,8,2,9
126,8,9,0
127,3,2,7
128,5,1,3
130,4,3,3
131,1,8,9
132,8,2,4
133,9,5,6
134,1,5,6
135,2,0,9
136,9,5,8
137,7,0,3
142,6,3,8
143,3,6,5
144,8,2,9
146,6,3,3
149,2,5,8
150,8,9,4
151,9,2,4
153,0,2,1
155,5,1,3
156,2,3,0
159,4,0,6
161,1,6,4
162,6,5,1
163,6,2,9
165,4,0,6
166,8,1,0
167,4,3,8
172,9,7,0
174,9,5,8
176,3,5,8
177,7,5,3
179,0,2,9
181,5,3,3
182,2,0,8
185,8,7,0
186,6,9,3
190,5,8,9
191,8,7,7
192,0,1,9
193,1,7,4
194,7,0,6
197,8,7,3
198,7,0,1
199,8,7,0
200,5,2,3
204,1,7,9
207,5,3,3
208,7,4,6
212,5,8,0
213,9,7,8
215,0,5,6
216,7,9,9
217,9,0,7
218,8,2,9
219,2,8,6
225,9,4,3
231,1,5,9
232,5,4,6
233,8,2,7
234,8,7,9
235,0,2,8
238,5,1,3
239,5,6,3
240,1,5,4
242,8,7,1
243,9,5,8
246,1,5,7
252,9,5,6
253,9,1,1
255,0,8,8
260,8,7,4
261,1,5,9
264,0,2,3
265,8,2,1
267,4,0,7
268,7,0,3
270,2,9,6
271,3,7,1
272,6,2,3
273,3,5,9
274,8,7,7
276,0,2,8
278,4,9,6
280,9,5,7
281,0,5,7
282,6,3,1
284,0,2,9
285,9,2,8
286,1,7,4
288,7,0,8
289,9,5,6
290,1,8,9
292,6,3,3
294,3,2,2
295,4,0,7
296,6,1,8
297,0,2,8
299,6,9,9
300,6,8,9
303,2,4,8
304,6,3,4
305,1,5,0
307,2,8,6
311,6,2,9
315,0,5,4
316,7,0,3
317,7,0,6
318,5,8,8
319,5,2,8
320,3,2,5
325,1,8,9
326,7,5,6
328,4,5,8
329,6,3,9
330,1,5,0
331,9,5,8
333,6,4,3
334,6,9,8
335,9,4,3
337,8,7,0
338,0,6,8
339,7,0,3
341,6,8,8
342,2,6,8
344,8,5,0
345,5,3,8
346,4,0,6
349,9,5,4
350,9,5,4
351,1,5,6
352,0,5,4
353,2,6,0
358,8,7,7
359,0,2,8
360,9,7,6
362,8,7,0
363,1,5,8
364,9,7,3
365,4,5,0
366,1,0,5
367,3,7,0
369,1,5,4
371,7,1,8
373,4,0,9
374,2,5,7
375,7,0,9
377,7,1,1
379,6,4,8
380,6,3,9
381,9,4,8
382,0,2,6
386,7,1,9
389,5,3,3
390,1,8,4
392,6,8,9
393,2,4,1
394,9,2,4
395,6,3,3
396,2,3,0
397,3,2,7
400,9,5,6
401,8,7,1
402,7,0,6
403,8,7,0
404,8,7,4
405,4,2,3
406,0,2,8
407,1,5,9
408,8,9,9
410,7,0,3
413,6,3,3
417,7,1,8
419,7,1,3
424,2,5,0
427,4,6,5
429,6,8,9
430,2,5,5
431,5,0,0
432,3,9,9
433,7,5,5
435,7,0,8
436,2,0,9
440,1,6,4
441,4,5,2
444,5,3,9
445,7,1,3
448,2,3,6
451,9,5,4
452,7,5,8
453,3,1,6
454,9,7,1
455,4,3,5
456,3,2,5
458,4,1,3
461,6,3,5
464,3,7,9
465,4,0,6
466,4,5,5
469,8,2,5
471,7,1,1
472,8,9,0
479,4,5,7
480,8,7,9
481,6,3,8
