NN1:,0.5197
NN1p:,0.5652
NN2:,0.1589
NN2p:,0.4588
Para:,0.9744

Number of evaluation data: ,10000
Total number of correct results:,9744
Number of results when both subnetworks are right:,2347
Number of results when only network1 is wrong:,2181
Number of results when only network2 is wrong:,3299
Number of results when both subnetworks are wrong but the combined network is right:,1917

Detailed results when both subnetworks are wrong:,
Parallel network,Network 1,Network 2
8,1,9
4,1,9
8,1,9
8,1,3
4,1,9
8,1,9
5,1,9
7,1,9
8,1,4
7,1,9
7,1,9
8,1,3
8,1,4
7,1,4
7,1,9
8,1,9
8,1,3
7,1,9
5,1,9
8,1,9
7,1,9
8,1,9
6,1,4
6,1,3
8,1,9
8,1,4
5,1,4
8,1,9
8,1,9
8,1,3
8,1,9
7,1,9
8,1,3
7,1,4
8,1,9
8,1,3
8,1,4
8,1,3
8,1,9
8,1,3
8,1,9
8,1,3
0,1,9
2,1,3
8,1,9
5,1,9
7,1,9
8,1,9
7,1,9
0,1,9
8,1,9
7,1,4
8,1,4
8,1,9
8,1,4
8,1,3
8,1,9
7,1,9
8,1,9
6,1,4
8,1,3
8,1,9
8,1,4
3,1,9
5,1,9
7,1,9
8,1,9
6,1,4
8,1,3
8,1,9
6,1,3
7,1,9
8,1,3
7,1,9
7,1,9
7,1,9
7,1,9
7,1,9
7,1,9
6,1,4
7,1,9
8,1,9
8,1,9
8,1,4
8,1,3
6,1,4
8,1,3
8,1,9
8,1,4
7,1,9
8,1,3
7,1,9
8,1,9
9,1,4
7,1,9
7,1,9
8,1,4
8,1,9
6,1,9
8,1,3
8,1,3
7,1,9
8,1,3
8,1,9
8,1,3
8,1,3
7,1,9
8,1,4
8,1,3
7,1,3
8,1,3
4,1,9
8,1,3
6,1,4
6,1,4
8,1,9
8,1,3
8,1,4
7,1,3
8,1,3
6,1,3
7,1,9
6,1,3
8,1,3
8,1,4
8,1,3
8,1,3
7,1,9
5,1,9
8,1,3
8,1,9
7,1,9
7,1,9
8,1,3
8,1,9
8,1,9
8,1,3
7,1,9
8,1,3
8,1,3
5,1,9
3,1,9
8,1,4
8,1,3
7,1,3
8,1,3
2,1,3
4,1,9
8,1,4
7,1,9
8,1,9
2,1,3
5,1,9
7,1,9
8,1,3
8,1,9
8,1,9
7,1,9
7,1,9
2,1,3
7,1,3
8,1,9
7,1,9
4,1,9
7,1,9
8,1,3
8,1,9
8,1,3
8,1,3
8,1,3
7,1,9
7,1,9
4,1,9
5,1,9
8,1,9
5,1,9
7,1,3
7,1,9
2,1,3
8,1,3
8,1,9
7,1,9
7,1,9
4,1,9
4,1,9
7,1,9
8,1,3
4,1,9
7,1,9
8,1,3
4,1,9
7,1,9
8,1,3
8,1,9
7,1,9
7,1,9
3,1,9
8,1,9
7,1,9
7,1,9
8,1,9
7,1,9
7,1,9
7,1,9
8,1,9
8,1,3
8,1,9
7,1,9
8,1,3
8,1,3
4,1,9
7,1,9
7,1,9
7,1,9
8,1,3
3,1,9
