Accuracy on the validation data,0.7966

Number of Type I results,146
Number of Type II results,822
Number of Type III results,806
Number of Type IV results,6192

Ratio of Type IV results to correct results,0.7773035400451921

Details of Type IV results
Input index,rp,r1,r2
5,6,0,2
7,6,2,2
8,3,8,4
9,1,2,2
10,0,1,6
11,9,7,4
12,5,0,2
13,7,8,6
14,9,8,7
16,5,9,1
17,7,8,2
19,6,3,2
20,7,0,4
21,0,6,2
22,4,2,7
23,9,7,4
28,9,7,4
29,6,3,2
30,6,9,2
31,5,1,3
33,5,6,3
34,9,8,2
36,4,2,3
37,1,8,4
38,9,8,4
39,5,0,3
42,5,9,3
43,6,0,2
45,9,8,4
47,9,3,2
48,7,8,1
50,9,8,4
52,0,1,1
53,3,9,2
54,8,2,9
55,8,2,9
56,7,2,4
60,7,8,6
62,6,1,2
63,3,9,2
64,6,9,2
66,1,7,4
69,7,2,4
74,0,6,2
75,2,8,7
77,3,8,2
78,3,8,7
79,8,3,9
80,8,2,3
81,1,8,8
82,1,7,7
83,7,0,1
84,2,9,1
85,5,2,4
88,8,3,7
89,9,8,4
90,0,8,9
92,8,2,9
94,4,2,1
95,6,3,2
96,6,3,2
97,0,5,7
98,0,6,1
99,7,2,3
103,3,9,2
104,1,7,7
105,1,5,7
106,3,8,0
108,8,6,0
109,7,5,4
110,4,7,6
111,0,8,7
114,1,8,2
115,3,2,4
116,0,2,2
117,4,2,3
119,7,2,0
120,8,3,2
121,3,9,2
122,1,8,4
124,8,2,9
125,0,7,2
126,8,2,6
127,3,9,7
128,5,0,7
129,2,8,7
130,4,3,2
131,1,7,2
133,9,8,4
134,1,7,4
136,9,7,4
137,7,3,2
141,5,0,4
143,3,9,1
144,8,2,4
145,7,0,4
148,5,0,3
149,2,8,4
151,9,8,2
152,6,3,8
154,0,2,9
155,5,0,3
157,9,8,4
158,5,0,2
159,4,2,3
160,2,6,9
162,6,7,2
165,4,6,6
166,8,2,3
167,4,7,9
169,0,5,2
171,9,7,2
172,9,7,2
174,9,2,2
175,9,8,1
176,3,6,9
177,7,3,1
178,5,9,3
179,0,8,1
180,0,8,7
181,5,0,2
185,8,9,9
187,3,6,2
189,0,8,9
190,5,6,4
191,8,7,2
192,0,8,2
193,1,2,7
194,7,0,2
197,8,5,9
198,7,9,3
200,5,9,3
201,1,4,8
204,1,7,2
205,3,9,2
206,0,8,6
207,5,0,2
208,7,3,1
209,9,8,4
212,5,8,4
213,9,8,2
214,8,2,4
216,7,6,3
217,9,8,4
218,8,5,7
219,2,0,7
220,7,3,6
221,6,9,7
222,9,8,4
225,9,8,4
227,4,7,2
229,6,3,2
230,5,9,2
231,1,3,7
232,5,2,6
233,8,7,7
236,4,6,2
237,0,7,3
238,5,0,3
239,5,0,2
240,1,8,6
242,8,7,0
243,9,8,4
244,0,2,2
246,1,8,4
250,5,9,7
251,3,8,2
252,9,8,4
253,9,8,7
255,0,7,9
257,0,2,4
259,9,3,7
262,5,9,2
268,7,2,1
269,0,6,2
270,2,3,7
273,3,9,2
274,8,7,7
276,0,2,4
278,4,2,6
279,3,2,2
280,9,8,2
281,0,8,9
282,6,9,2
283,1,8,7
285,9,8,7
286,1,8,2
288,7,6,4
289,9,8,2
292,6,3,2
294,3,9,2
295,4,6,6
297,0,6,9
298,0,5,2
300,6,3,2
301,6,1,2
303,2,9,5
304,6,3,2
305,1,8,7
310,8,5,9
313,0,5,2
314,4,8,2
315,0,8,3
316,7,6,1
317,7,8,6
318,5,9,7
319,5,9,0
320,3,6,2
325,1,7,2
326,7,3,1
327,5,0,6
328,4,6,3
330,1,8,0
331,9,8,4
