Accuracy on the validation data,0.7773

Number of Type I results,54
Number of Type II results,570
Number of Type III results,721
Number of Type IV results,6428

Ratio of Type IV results to correct results,0.8269651357262319

Details of Type IV results
Input index,rp,r1,r2
0,3,0,6
2,8,7,7
3,0,8,6
4,6,0,7
5,6,0,7
6,1,5,0
8,3,0,6
10,0,5,7
11,9,0,6
13,7,2,0
14,9,0,7
15,8,2,4
16,5,0,7
18,8,0,4
19,6,2,0
20,7,9,0
22,4,0,0
23,9,0,6
26,4,5,6
27,0,2,7
28,9,0,7
29,6,0,0
30,6,5,0
31,5,0,7
34,9,3,0
36,4,0,7
37,1,2,6
38,9,3,7
39,5,0,8
41,6,5,0
43,6,2,0
44,0,2,4
46,3,0,7
48,7,0,4
49,6,0,0
50,9,5,2
51,8,0,6
53,3,8,7
57,7,2,0
62,6,0,0
63,3,5,4
64,6,5,0
66,1,5,0
67,2,0,4
69,7,2,9
70,2,5,4
71,6,5,0
72,8,0,4
73,8,0,4
75,2,5,1
76,9,8,0
77,3,8,6
79,8,0,6
81,1,5,9
82,1,5,9
83,7,0,0
84,2,5,7
85,5,0,7
88,8,7,0
89,9,0,2
90,0,2,6
91,3,5,7
92,8,0,4
93,6,0,0
94,4,0,0
95,6,0,0
96,6,2,0
100,4,0,0
102,6,0,0
103,3,5,7
104,1,7,6
105,1,0,6
107,6,5,0
108,8,7,6
109,7,5,0
110,4,5,0
111,0,7,6
114,1,9,9
115,3,5,7
117,4,2,7
122,1,5,6
123,2,0,7
124,8,0,6
126,8,7,4
127,3,0,7
129,2,7,9
130,4,2,0
131,1,0,6
133,9,0,6
134,1,5,7
136,9,0,1
138,2,0,7
141,5,0,7
142,6,5,4
146,6,5,0
150,8,7,9
152,6,0,7
153,0,3,6
154,0,2,6
155,5,0,0
156,2,5,7
157,9,7,7
159,4,2,0
161,1,0,9
163,6,0,0
165,4,2,0
166,8,7,4
167,4,0,0
170,9,3,7
171,9,2,7
172,9,5,7
173,8,5,0
174,9,1,2
175,9,8,7
176,3,8,7
177,7,0,0
178,5,0,7
179,0,5,7
180,0,2,7
183,2,0,7
185,8,0,4
186,6,0,0
187,3,8,7
191,8,0,4
193,1,3,6
194,7,2,0
197,8,0,0
199,8,5,4
200,5,0,7
202,8,7,6
203,7,2,1
204,1,0,6
205,3,0,7
207,5,0,0
208,7,0,1
209,9,5,7
212,5,0,7
213,9,0,3
214,8,0,6
215,0,5,7
216,7,2,6
217,9,0,7
219,2,0,9
222,9,2,2
223,4,0,0
224,3,5,1
225,9,0,2
227,4,2,0
229,6,5,5
230,5,0,0
231,1,0,9
232,5,0,9
233,8,0,6
236,4,0,6
238,5,0,0
240,1,0,9
242,8,7,9
243,9,2,6
244,0,5,6
246,1,0,9
248,2,5,7
250,5,0,7
251,3,2,6
252,9,0,0
253,9,2,0
255,0,2,6
256,3,8,7
257,0,7,6
260,8,0,7
261,1,0,6
264,0,8,4
265,8,0,4
267,4,2,0
268,7,2,6
270,2,5,1
271,3,2,7
272,6,5,7
273,3,5,7
276,0,2,9
278,4,0,1
280,9,0,2
282,6,8,7
283,1,0,6
284,0,2,6
285,9,7,0
286,1,0,0
288,7,2,1
289,9,0,6
290,1,8,9
291,2,0,4
292,6,2,0
294,3,0,6
296,6,0,0
