Accuracy on the validation data,0.7998

Number of Type I results,101
Number of Type II results,584
Number of Type III results,950
Number of Type IV results,6363

Ratio of Type IV results to correct results,0.7955738934733684

Details of Type IV results
Input index,rp,r1,r2
0,3,0,0
1,8,2,1
2,8,0,2
3,0,9,7
7,6,9,0
8,3,8,5
9,1,9,2
10,0,8,3
11,9,0,2
12,5,2,8
13,7,0,8
14,9,5,3
15,8,7,7
16,5,7,8
17,7,8,3
21,0,8,4
23,9,1,2
25,2,5,1
28,9,5,2
30,6,1,1
31,5,2,6
32,4,1,9
34,9,1,2
36,4,0,9
38,9,1,2
39,5,8,3
40,4,0,1
44,0,9,8
45,9,1,0
47,9,4,2
48,7,6,2
50,9,5,0
53,3,5,8
54,8,2,5
55,8,0,4
56,7,0,2
60,7,0,9
63,3,0,5
64,6,9,3
65,2,6,1
66,1,9,7
67,2,6,7
68,3,8,0
69,7,5,3
70,2,7,9
72,8,1,4
73,8,2,7
74,0,8,8
75,2,7,1
76,9,1,3
79,8,0,1
80,8,2,1
82,1,2,8
83,7,0,5
84,2,7,6
88,8,1,2
89,9,1,8
90,0,2,1
94,4,1,6
97,0,8,5
99,7,8,2
100,4,6,2
101,5,6,9
103,3,1,5
104,1,2,6
106,3,7,5
108,8,6,2
109,7,2,5
111,0,4,2
113,2,6,1
117,4,0,1
119,7,5,8
120,8,6,1
121,3,5,0
122,1,9,8
123,2,1,6
124,8,0,0
125,0,1,1
126,8,1,5
128,5,1,3
130,4,6,9
131,1,9,8
132,8,0,2
133,9,1,2
135,2,7,1
136,9,5,2
137,7,8,8
140,6,1,7
141,5,1,0
143,3,6,6
148,5,7,2
149,2,9,1
150,8,0,0
151,9,1,2
152,6,1,7
153,0,9,8
154,0,1,1
155,5,1,7
156,2,1,1
159,4,1,2
160,2,8,8
161,1,9,8
162,6,2,0
163,6,1,1
165,4,1,2
166,8,7,9
167,4,1,9
168,5,1,8
169,0,6,9
170,9,1,7
171,9,8,8
172,9,0,6
173,8,6,1
174,9,1,2
175,9,5,2
176,3,1,5
177,7,6,2
179,0,4,8
180,0,7,3
181,5,8,0
182,2,1,1
184,3,1,4
185,8,2,1
187,3,1,1
190,5,6,8
191,8,0,9
192,0,1,9
194,7,8,2
196,8,6,2
197,8,6,7
199,8,2,3
200,5,2,1
202,8,1,1
203,7,0,2
204,1,9,2
205,3,0,6
207,5,1,9
208,7,0,2
209,9,1,8
211,4,0,5
212,5,7,3
214,8,6,1
216,7,0,5
217,9,1,2
218,8,6,3
220,7,6,1
222,9,5,2
223,4,6,1
224,3,2,6
227,4,1,0
229,6,2,1
230,5,8,3
231,1,9,2
233,8,1,2
234,8,2,2
235,0,1,3
236,4,1,0
237,0,9,6
240,1,9,2
242,8,7,2
243,9,1,3
249,2,1,0
250,5,4,2
251,3,0,6
252,9,1,8
253,9,2,0
256,3,6,8
257,0,8,9
260,8,6,2
261,1,9,3
265,8,6,7
267,4,1,1
268,7,0,2
270,2,9,5
271,3,0,9
274,8,0,2
276,0,6,3
279,3,8,8
280,9,1,2
281,0,9,1
283,1,9,2
285,9,0,2
286,1,2,0
288,7,0,5
289,9,1,8
290,1,9,2
291,2,6,1
294,3,0,5
295,4,1,5
296,6,9,2
298,0,8,1
299,6,2,2
304,6,2,1
305,1,9,6
306,8,4,2
307,2,1,1
308,1,9,2
310,8,1,9
311,6,1,2
313,0,1,2
314,4,0,1
316,7,3,2
317,7,6,8
318,5,2,1
319,5,8,3
320,3,2,6
322,2,6,6
324,4,1,5
325,1,9,5
326,7,6,9
327,5,6,6
328,4,1,1
330,1,2,7
335,9,8,1
336,3,2,0
338,0,4,1
339,7,8,8
341,6,2,2
344,8,2,9
345,5,7,3
346,4,8,9
348,8,2,7
349,9,1,1
350,9,2,2
351,1,2,2
353,2,9,1
354,2,6,1
358,8,2,6
359,0,9,9
360,9,1,2
362,8,2,7
364,9,1,2
371,7,0,6
372,9,5,8
