Accuracy on the validation data,0.7824

Number of Type I results,46
Number of Type II results,528
Number of Type III results,630
Number of Type IV results,6620

Ratio of Type IV results to correct results,0.8461145194274029

Details of Type IV results
Input index,rp,r1,r2
1,8,9,5
2,8,9,7
4,6,2,7
6,1,6,7
7,6,7,8
8,3,7,7
9,1,9,7
10,0,1,7
11,9,2,7
12,5,7,2
13,7,6,9
14,9,6,5
15,8,2,7
16,5,6,7
17,7,9,0
18,8,9,7
19,6,9,7
21,0,3,8
22,4,7,7
26,4,6,0
27,0,3,8
29,6,9,7
30,6,2,8
31,5,7,9
36,4,6,7
39,5,9,7
40,4,9,5
41,6,2,8
43,6,7,7
45,9,6,0
46,3,6,9
48,7,6,0
49,6,2,8
50,9,2,7
51,8,9,7
53,3,6,7
54,8,9,7
55,8,7,7
56,7,9,0
59,6,7,7
62,6,3,8
63,3,6,8
64,6,9,7
66,1,9,7
67,2,3,8
69,7,6,2
70,2,6,5
72,8,3,7
73,8,9,7
75,2,7,9
77,3,7,5
79,8,2,7
80,8,9,7
81,1,6,7
82,1,6,7
85,5,3,9
86,2,9,9
88,8,3,7
89,9,6,5
92,8,9,7
93,6,2,8
94,4,1,0
95,6,9,2
96,6,9,7
98,0,1,7
99,7,4,0
100,4,7,7
102,6,7,8
103,3,4,8
104,1,9,7
105,1,9,5
107,6,9,8
108,8,9,5
110,4,7,9
113,2,3,8
114,1,9,5
116,0,3,9
117,4,2,7
120,8,9,7
121,3,7,9
122,1,9,7
123,2,9,9
124,8,9,7
125,0,9,8
126,8,9,9
130,4,2,9
131,1,9,0
132,8,9,0
133,9,2,7
134,1,9,7
135,2,5,9
137,7,6,8
140,6,9,8
141,5,3,2
142,6,7,8
144,8,3,7
146,6,2,7
148,5,7,9
149,2,9,9
151,9,6,8
152,6,7,7
154,0,3,8
155,5,7,7
156,2,7,8
157,9,6,5
159,4,1,7
160,2,9,0
161,1,6,0
163,6,3,7
166,8,9,7
169,0,7,9
172,9,6,7
173,8,7,0
174,9,6,0
175,9,6,7
180,0,9,7
181,5,9,0
182,2,7,9
183,2,7,8
184,3,9,8
185,8,9,7
190,5,9,9
191,8,9,7
192,0,3,7
193,1,9,7
194,7,6,9
195,2,7,8
196,8,9,7
197,8,7,2
199,8,6,7
200,5,7,7
201,1,9,0
202,8,3,0
204,1,6,7
205,3,6,0
207,5,7,9
212,5,9,2
214,8,3,0
215,0,9,7
216,7,1,5
217,9,3,0
218,8,7,7
219,2,7,9
220,7,6,9
224,3,7,7
225,9,6,0
227,4,7,0
229,6,9,0
230,5,9,7
231,1,9,0
232,5,9,7
233,8,9,7
234,8,3,7
236,4,7,9
238,5,3,7
239,5,7,2
240,1,6,7
244,0,1,8
246,1,2,5
248,2,7,0
249,2,3,5
250,5,9,7
251,3,9,7
252,9,6,7
253,9,3,5
256,3,9,8
258,0,7,8
259,9,6,7
260,8,9,7
261,1,9,5
262,5,3,7
265,8,7,7
267,4,6,9
269,0,1,9
272,6,9,8
273,3,7,2
274,8,2,5
278,4,7,9
280,9,6,0
282,6,2,8
283,1,9,7
285,9,6,0
286,1,9,5
287,0,1,7
288,7,3,0
289,9,7,0
290,1,6,7
291,2,6,4
292,6,2,7
294,3,9,7
295,4,6,9
296,6,2,7
297,0,3,4
298,0,3,5
299,6,9,8
300,6,9,7
301,6,9,8
302,3,7,2
303,2,7,8
304,6,3,7
305,1,9,0
310,8,9,7
311,6,9,8
314,4,9,7
315,0,3,7
316,7,6,9
318,5,9,7
320,3,9,7
322,2,3,8
325,1,9,7
326,7,6,0
327,5,6,9
328,4,7,9
329,6,9,8
330,1,9,7
331,9,6,6
332,3,9,7
333,6,2,8
334,6,9,8
336,3,9,2
338,0,9,7
340,2,7,9
341,6,9,8
342,2,9,8
345,5,9,9
346,4,9,0
347,6,7,8
348,8,7,7
349,9,6,0
351,1,9,0
353,2,9,9
357,2,3,0
358,8,9,5
359,0,1,5
362,8,7,7
363,1,9,5
364,9,6,7
365,4,7,0
366,1,6,7
369,1,6,7
370,4,7,9
371,7,2,5
372,9,2,7
373,4,9,7
374,2,6,9
375,7,9,0
379,6,9,7
380,6,2,8
382,0,3,8
386,7,9,0
387,2,7,9
389,5,9,9
390,1,9,5
391,2,9,5
392,6,9,9
393,2,3,3
395,6,9,8
397,3,7,7
399,3,9,7
400,9,6,7
402,7,9,9
403,8,9,7
404,8,9,0
405,4,2,9
406,0,3,7
407,1,9,8
408,8,7,7
409,2,4,8
410,7,9,9
411,9,3,5
413,6,2,8
414,1,6,0
415,9,2,5
420,4,7,9
421,5,6,7
423,0,9,5
424,2,7,9
425,9,2,7
429,6,9,8
431,5,9,0
435,7,9,9
436,2,9,0
438,3,7,9
440,1,6,7
441,4,6,1
442,9,6,0
443,9,6,7
444,5,9,7
445,7,2,0
447,0,9,8
449,2,3,8
453,3,7,4
455,4,9,9
459,6,9,8
460,5,7,8
461,6,2,8
462,1,9,7
465,4,9,9
466,4,6,7
467,3,7,7
469,8,7,7
470,3,6,9
471,7,6,0
472,8,7,5
473,0,3,7
474,5,7,9
475,7,6,9
476,6,9,8
478,5,6,8
479,4,6,7
481,6,2,8
482,8,9,7
483,5,9,7
484,5,9,7
486,9,6,0
487,9,6,0
489,0,9,5
490,1,6,5
492,8,7,7
493,1,6,7
494,1,6,5
495,8,3,6
496,0,9,5
498,2,9,9
499,0,3,8
500,4,7,9
