NN1:,0.3483
NN1p:,0.8118
NN2:,0.5052
NN2p:,0.6391
Para:,0.9798

Number of evaluation data: ,10000
Total number of correct results:,9798
Number of results when both subnetworks are right:,4959
Number of results when only network1 is wrong:,1395
Number of results when only network2 is wrong:,3120
Number of results when both subnetworks are wrong but the combined network is right:,324

Detailed results when both subnetworks are wrong:,
Parallel network,Network 1,Network 2
5,8,3
5,6,3
8,3,9
5,6,3
5,6,3
2,3,0
2,3,0
8,3,6
8,3,9
5,7,3
7,3,1
2,3,6
3,8,9
8,3,6
8,3,7
5,8,3
5,3,3
2,3,6
2,3,6
2,3,0
5,6,3
5,9,3
2,3,0
8,3,2
2,3,0
5,4,3
4,9,1
8,3,9
5,6,3
7,3,9
0,9,5
8,3,9
2,3,0
5,8,3
5,7,3
5,8,3
5,6,3
8,3,9
7,3,8
2,3,0
2,3,6
2,3,7
4,9,1
5,8,3
5,8,0
8,3,9
5,6,3
5,6,3
5,6,3
5,8,3
0,3,2
8,3,9
5,8,3
8,3,0
5,8,3
5,6,3
2,3,0
5,8,3
5,6,3
9,7,1
5,1,3
9,7,8
7,3,9
5,6,3
2,3,0
2,3,6
2,7,6
2,3,0
2,3,6
2,3,0
5,8,3
8,6,9
2,3,6
5,6,3
2,9,6
2,3,6
5,8,3
8,3,9
5,1,3
5,6,0
2,3,9
5,9,3
2,3,0
4,9,8
2,3,6
5,7,3
5,6,0
8,3,9
2,3,6
2,3,6
5,6,3
5,9,3
5,6,3
5,6,0
2,3,0
2,3,6
5,6,0
2,3,6
2,3,0
9,7,3
2,3,6
2,3,6
5,6,3
2,3,6
2,3,6
5,6,3
2,3,6
2,3,6
8,3,9
2,3,0
5,6,3
7,3,9
5,8,3
5,2,3
4,9,1
4,9,6
5,8,3
2,3,0
2,3,6
2,3,0
2,3,6
5,6,0
8,3,9
8,3,9
5,8,3
5,8,3
8,3,9
2,3,6
5,8,3
2,3,6
5,6,3
8,3,9
5,8,3
2,3,6
2,3,6
2,3,6
2,3,6
2,3,6
2,3,6
2,3,6
2,3,6
2,3,6
5,8,3
2,3,0
5,8,3
5,8,3
8,3,9
2,3,0
5,8,3
5,6,3
8,3,9
8,3,9
5,8,3
5,6,3
9,7,1
2,3,6
2,3,6
5,6,2
4,9,8
5,6,3
5,6,3
5,8,3
8,3,9
4,9,6
5,1,3
5,6,3
5,6,0
7,3,9
2,3,6
2,3,6
5,8,3
2,3,6
7,9,8
8,3,0
2,3,6
2,3,6
7,9,8
5,8,3
2,3,6
5,6,3
2,3,0
8,3,6
4,9,1
4,9,1
5,8,3
5,9,3
8,3,9
5,8,3
5,6,3
9,7,3
5,6,3
5,8,0
5,6,3
5,6,3
2,7,6
2,3,0
5,9,3
2,3,0
5,7,3
2,3,0
8,3,0
5,6,3
2,3,6
5,6,3
8,3,9
2,3,0
2,9,6
5,6,3
5,8,3
2,3,0
2,3,0
5,6,3
2,3,6
2,3,0
8,3,9
8,3,9
4,9,6
5,8,3
2,3,6
4,9,2
1,8,7
0,9,5
9,7,0
4,9,1
2,3,6
8,3,1
5,7,3
2,3,0
5,9,3
5,6,3
5,8,3
8,3,9
5,8,3
2,3,6
5,9,3
2,3,6
5,4,3
5,8,3
5,4,3
8,3,0
2,3,6
5,7,3
5,8,3
2,3,6
2,3,0
2,3,0
5,0,3
2,3,6
2,3,6
8,3,9
2,3,6
8,3,9
5,9,3
0,8,6
2,3,6
5,8,3
2,3,6
2,3,6
8,3,9
8,3,9
8,3,9
2,3,0
5,7,3
9,7,8
2,3,6
2,3,0
4,9,2
5,8,3
5,8,3
5,8,3
8,3,9
4,9,8
2,3,7
2,3,0
2,3,0
5,6,3
5,8,3
2,3,6
5,7,3
0,3,6
9,4,1
2,3,6
5,6,3
2,3,6
2,3,6
2,3,6
7,3,1
0,6,6
5,8,3
5,4,3
0,3,5
2,3,6
3,2,8
5,8,3
2,3,6
5,6,3
5,4,3
2,7,6
5,6,3
2,3,6
5,2,3
2,3,6
2,3,0
1,8,3
4,8,6
5,6,3
4,8,6
5,6,3
5,8,3
5,8,3
5,8,3
5,8,3
2,3,9
0,9,2
5,1,3
5,6,3
4,8,1
2,7,6
2,3,6
4,1,6
0,3,2
5,8,3
2,3,6
2,3,0
