NN1:,0.5678
NN1p:,0.5322
NN2:,0.7481
NN2p:,0.7383
Para:,0.9795

Number of evaluation data: ,10000
Total number of correct results:,9795
Number of results when both subnetworks are right:,3064
Number of results when only network1 is wrong:,4263
Number of results when only network2 is wrong:,2235
Number of results when both subnetworks are wrong but the combined network is right:,233

Detailed results when both subnetworks are wrong:,
Parallel network,Network 1,Network 2
8,1,6
9,2,8
6,4,0
9,1,4
8,2,9
8,2,3
8,2,4
8,2,0
3,2,8
8,1,5
6,7,5
6,1,0
9,7,4
8,2,6
9,7,4
9,7,4
6,2,0
9,2,8
4,1,3
6,4,0
9,2,8
8,2,9
8,2,3
8,2,3
8,2,9
8,2,6
9,2,8
9,1,3
9,1,8
8,1,3
7,9,4
6,4,0
8,2,9
8,2,3
9,1,3
4,1,8
8,2,3
8,1,3
8,2,6
6,1,5
9,1,8
9,2,8
7,2,4
6,4,5
8,2,9
5,2,8
8,2,5
9,1,8
7,2,4
6,4,8
0,7,6
8,1,3
9,2,8
8,1,9
8,1,3
8,2,9
9,1,3
6,1,5
2,7,1
3,2,8
8,1,9
6,2,0
6,1,5
7,9,4
9,7,8
6,4,5
8,2,6
9,2,8
6,4,5
4,2,5
8,1,3
8,2,5
6,4,0
7,1,4
8,2,0
8,2,9
9,7,8
8,2,9
8,1,9
0,2,6
6,4,5
9,1,3
6,4,5
8,2,3
9,2,8
8,2,5
8,1,6
8,2,9
8,2,3
6,4,0
6,4,5
5,2,6
8,2,9
8,2,9
4,2,8
8,2,5
8,1,2
8,1,0
8,2,9
8,2,9
8,2,9
6,4,0
6,1,5
8,2,5
8,1,3
6,4,5
6,4,5
9,1,8
9,2,3
8,2,3
8,2,6
8,1,5
8,2,9
8,2,9
8,2,5
9,2,8
8,1,3
8,2,0
6,4,5
8,2,5
8,2,3
8,2,6
8,1,9
7,1,4
6,4,0
8,1,6
7,1,4
9,4,8
8,2,9
8,1,3
8,2,5
8,2,9
8,2,9
8,2,9
8,2,9
8,2,9
8,2,9
8,1,9
9,7,8
8,2,9
8,2,3
8,2,0
9,1,8
6,4,5
6,7,5
8,1,4
6,1,5
7,9,4
8,2,5
8,2,3
9,2,8
4,1,8
8,1,3
9,2,8
6,4,0
9,2,8
9,2,8
7,2,4
3,2,1
7,1,4
8,2,5
8,2,9
9,2,8
6,1,5
8,2,6
4,1,8
8,2,6
9,1,4
8,2,9
9,1,8
0,7,6
2,7,1
8,2,3
8,2,3
6,4,5
9,2,3
8,1,5
8,2,9
8,2,3
8,2,9
8,2,3
8,1,5
6,4,5
8,2,3
8,2,3
8,2,9
8,2,9
7,9,4
6,1,5
8,2,9
6,4,0
6,4,0
7,1,4
6,4,0
6,4,5
8,2,3
9,7,8
8,7,3
6,4,5
6,4,0
0,2,8
8,2,6
7,9,4
9,4,8
9,1,8
9,1,8
9,2,8
9,2,8
6,4,0
9,2,8
9,2,8
9,2,8
8,2,5
0,7,6
8,1,9
8,1,5
9,1,8
9,2,8
6,7,0
6,4,0
6,4,0
6,4,0
6,4,0
9,2,8
8,2,6
8,2,0
8,2,0
8,1,6
8,1,5
6,4,5
8,2,9
4,2,0
9,7,4
