NN1:,0.7975
NN1p:,0.8218
NN2:,0.6415
NN2p:,0.6076
Para:,0.9806

Number of evaluation data: ,10000
Total number of correct results:,9806
Number of results when both subnetworks are right:,4654
Number of results when only network1 is wrong:,1389
Number of results when only network2 is wrong:,3510
Number of results when both subnetworks are wrong but the combined network is right:,253

Detailed results when both subnetworks are wrong:,
Parallel network,Network 1,Network 2
8,2,9
4,2,6
4,2,6
0,5,9
6,1,4
7,4,3
9,4,8
8,2,1
4,2,6
7,2,1
7,2,3
8,2,9
1,2,3
8,2,9
7,4,1
7,5,1
7,3,1
7,5,3
5,3,9
7,0,1
9,4,6
7,4,1
0,7,3
7,4,1
7,4,3
7,5,3
7,4,1
4,2,6
8,2,9
9,4,8
9,4,8
9,4,8
7,4,3
9,5,3
8,2,9
5,2,9
7,4,1
0,5,6
0,7,6
8,3,5
9,4,8
6,2,8
7,4,1
9,4,8
4,2,6
9,4,8
4,2,6
8,2,9
7,2,1
7,4,1
9,4,8
8,3,9
9,4,8
9,4,8
7,2,3
9,2,6
4,2,6
7,5,1
9,4,8
0,7,6
8,2,6
9,4,8
0,7,3
0,7,3
7,0,1
9,4,8
0,5,6
5,3,6
8,2,6
7,4,1
8,2,6
7,8,1
2,8,3
7,4,1
7,5,1
4,7,6
7,4,1
4,2,6
9,4,6
4,2,6
4,2,6
9,4,8
7,4,1
7,2,1
9,2,6
4,2,6
0,7,6
4,2,6
0,7,9
7,2,3
8,2,9
7,5,1
4,3,6
7,2,1
5,2,6
2,8,3
7,5,1
0,7,9
8,2,6
9,4,3
0,5,6
5,2,6
0,7,6
8,2,9
6,2,5
4,2,6
9,5,6
9,4,6
8,2,9
7,2,1
7,5,1
0,7,3
9,4,1
7,4,3
4,2,6
8,3,9
8,2,9
0,2,9
7,2,3
5,3,9
9,4,1
8,2,9
7,4,1
7,5,1
9,4,8
7,5,1
0,7,9
7,2,3
8,3,5
7,4,1
7,4,1
7,4,1
9,4,8
7,2,1
8,7,1
3,8,9
0,3,6
4,2,6
4,2,6
7,4,1
1,2,5
7,4,1
8,2,5
4,2,6
0,7,6
4,2,6
7,4,1
9,4,8
7,4,1
8,2,9
9,4,6
6,2,4
7,4,3
7,4,1
7,4,3
7,4,1
0,7,6
0,7,9
9,4,8
8,2,5
9,4,8
0,7,6
9,4,6
8,3,9
4,2,6
9,4,8
5,2,6
4,7,6
1,2,5
0,5,6
8,2,9
7,4,1
9,4,1
9,4,1
9,4,6
0,7,6
0,7,9
0,8,9
9,4,1
7,5,1
2,8,3
9,4,8
9,4,8
4,7,6
4,7,6
9,4,8
7,4,3
8,2,9
0,7,9
7,4,3
7,8,3
9,7,3
9,4,8
7,4,1
8,4,1
9,4,6
2,7,3
7,4,3
8,7,9
4,7,6
7,4,3
7,4,8
7,4,1
7,4,3
4,7,6
0,7,3
9,4,8
7,4,1
7,2,3
2,7,3
0,7,6
4,2,6
0,2,9
9,4,8
7,4,1
7,4,1
9,4,8
7,4,1
4,7,6
0,3,3
9,4,8
9,4,8
8,2,9
9,4,6
9,4,8
9,4,8
8,5,9
9,7,8
0,2,6
4,2,6
0,5,3
4,7,6
8,2,9
4,2,6
1,3,5
4,2,6
0,7,6
0,3,6
5,3,3
8,2,9
4,7,6
9,4,8
9,4,8
2,8,3
4,7,6
0,8,3
4,2,6
7,5,1
0,7,3
4,2,6
4,2,6
0,2,6
4,7,6
