NN1:,0.4703
NN1p:,0.5995
NN2:,0.4052
NN2p:,0.4378
Para:,0.9758

Number of evaluation data: ,10000
Total number of correct results:,9758
Number of results when both subnetworks are right:,1768
Number of results when only network1 is wrong:,2564
Number of results when only network2 is wrong:,4216
Number of results when both subnetworks are wrong but the combined network is right:,1210

Detailed results when both subnetworks are wrong:,
Parallel network,Network 1,Network 2
4,6,9
3,6,9
4,6,9
7,0,9
0,6,9
3,6,9
3,6,9
7,0,9
3,6,9
3,6,9
7,6,9
4,6,9
7,0,9
8,6,9
7,0,9
3,6,9
4,6,9
7,0,9
7,0,9
2,6,9
3,6,9
0,6,9
2,6,9
3,6,9
5,6,9
3,6,9
3,6,9
3,6,9
7,0,9
5,6,9
7,0,9
7,0,9
0,6,9
7,0,9
7,0,9
3,6,9
3,6,9
8,6,9
0,6,9
3,6,9
3,6,9
4,6,9
5,6,9
8,6,9
8,6,9
7,0,9
3,6,9
7,6,9
7,0,9
7,6,9
3,6,9
7,6,9
3,6,9
7,0,9
0,6,9
7,0,9
8,6,9
3,6,9
8,6,9
3,6,9
7,0,9
2,6,9
2,6,9
7,6,9
7,0,9
3,6,9
4,6,9
3,6,9
3,6,9
7,0,9
3,6,9
3,6,9
4,6,9
5,6,9
4,6,9
7,6,9
1,6,9
3,6,9
7,6,9
5,6,9
7,0,9
3,6,9
4,0,9
3,6,9
3,6,9
2,6,9
7,0,9
7,0,9
3,6,9
5,6,9
8,6,9
7,0,9
2,6,9
3,6,9
7,0,9
7,0,9
5,6,9
4,6,9
5,6,9
7,0,9
7,0,9
4,6,9
2,6,9
7,0,9
0,6,9
3,6,9
2,6,9
4,6,9
3,6,9
4,6,9
3,6,9
7,0,9
4,6,9
7,0,9
7,0,9
7,0,9
4,6,9
7,0,9
5,6,9
4,6,9
7,0,9
7,0,9
7,0,9
7,6,9
7,0,9
4,6,9
4,0,9
7,0,9
0,6,9
3,6,9
4,6,9
7,0,9
3,6,9
3,6,9
7,6,9
3,6,9
4,6,9
3,6,9
7,0,9
7,0,9
7,6,9
7,6,9
4,6,9
7,0,9
3,6,9
7,0,9
4,6,9
7,0,9
4,0,9
7,0,9
8,6,9
7,6,9
8,6,9
4,0,9
4,6,9
7,0,9
5,0,9
3,6,9
7,0,9
8,6,9
7,0,9
7,0,9
7,6,9
4,6,9
7,0,9
3,6,9
5,6,9
5,6,9
7,0,9
2,6,9
4,6,9
4,6,9
3,6,9
2,6,9
3,6,9
7,0,9
7,0,9
5,6,9
7,0,9
7,0,9
3,6,9
7,6,9
3,6,9
3,6,9
7,0,9
7,0,9
5,6,9
7,0,9
3,6,9
8,6,9
4,6,9
8,6,9
4,6,9
0,6,9
3,6,9
7,0,9
7,6,9
7,0,9
3,6,9
7,0,9
7,0,9
3,6,9
8,6,9
4,6,9
8,6,9
2,6,9
3,6,9
4,6,9
7,0,9
3,6,9
0,6,9
7,0,9
4,6,9
5,6,9
3,6,9
2,6,9
4,6,9
4,6,9
5,6,9
5,6,9
7,0,9
3,0,9
3,6,9
7,0,9
3,6,9
4,0,9
3,6,9
7,0,9
4,6,9
3,6,9
3,6,9
5,6,9
7,6,9
7,0,9
7,0,9
3,6,9
7,0,9
3,6,9
3,6,9
7,0,9
7,0,9
3,6,9
7,6,9
5,6,9
8,6,9
3,6,9
7,6,9
3,6,9
3,6,9
2,6,9
3,6,9
3,6,9
3,6,9
3,6,9
5,6,9
3,6,9
4,6,9
7,6,9
8,6,9
7,6,9
0,6,9
3,6,9
3,6,9
7,0,9
3,6,9
7,6,9
8,6,9
0,6,9
5,6,9
0,6,9
3,6,9
0,6,9
7,6,9
4,6,9
7,0,9
7,0,9
2,6,9
5,0,9
7,6,9
7,0,9
0,6,9
3,6,9
7,0,9
8,6,9
2,6,9
5,6,9
2,6,9
4,6,9
4,6,9
3,6,9
5,6,9
3,6,9
3,6,9
4,0,9
4,6,9
3,6,9
5,6,9
3,6,9
7,0,9
4,6,9
7,0,9
3,6,9
5,6,9
3,6,9
2,6,9
4,0,9
3,6,9
7,6,9
3,6,9
7,0,9
7,0,9
7,0,9
3,6,9
7,0,9
7,0,9
7,0,9
4,6,9
4,6,9
7,0,9
7,0,9
3,6,9
2,6,9
4,6,9
7,0,9
3,6,9
7,0,9
4,6,9
7,0,9
1,6,9
7,0,9
7,6,9
3,6,9
3,6,9
7,0,9
8,6,9
3,6,9
7,0,9
5,6,9
7,0,9
3,6,9
3,6,9
3,6,9
4,6,9
4,6,9
7,0,9
7,0,9
7,6,9
3,6,9
3,6,9
7,0,9
5,6,9
5,6,9
3,6,9
3,6,9
7,0,9
7,0,9
3,6,9
7,0,9
7,0,9
3,6,9
0,6,9
3,6,9
7,0,9
7,0,9
3,6,9
7,0,9
1,6,9
5,6,9
7,0,9
2,6,9
5,6,9
5,6,9
7,0,9
7,6,9
1,6,9
8,6,9
2,6,9
5,6,9
3,6,9
7,0,9
3,6,9
3,6,9
7,0,9
1,6,9
3,6,9
7,0,9
2,0,9
3,6,9
3,6,9
5,6,9
7,6,9
2,6,9
0,6,9
3,6,9
4,6,9
5,6,9
2,6,9
5,6,9
8,6,9
2,6,9
3,6,9
4,6,9
5,6,9
4,6,9
5,6,9
0,6,9
3,6,9
7,0,9
1,6,9
3,6,9
7,0,9
5,6,9
0,6,9
3,6,9
2,6,9
8,6,9
3,6,9
7,0,9
7,6,9
3,6,9
3,6,9
2,6,9
3,6,9
7,0,9
7,0,9
3,6,9
3,6,9
7,0,9
0,6,9
4,6,9
2,6,9
2,6,9
3,6,9
0,6,9
7,0,9
5,6,9
7,0,9
0,6,9
7,0,9
2,6,9
2,6,9
0,6,9
3,6,9
4,6,9
7,0,9
5,6,9
3,6,9
7,6,9
3,6,9
3,6,9
7,0,9
4,6,9
7,6,9
5,6,9
3,6,9
4,6,9
7,0,9
5,6,9
5,6,9
5,6,9
3,6,9
3,6,9
2,6,9
3,6,9
7,0,9
7,0,9
7,0,9
7,0,9
7,0,9
4,6,9
3,6,9
4,6,9
4,6,9
3,6,9
3,6,9
4,6,9
4,6,9
3,6,9
4,6,9
3,6,9
4,6,9
4,6,9
7,0,9
7,0,9
4,6,9
7,0,9
4,6,9
1,6,9
7,6,9
3,6,9
7,0,9
4,6,9
8,6,9
4,0,9
4,6,9
4,6,9
2,6,9
7,0,9
2,0,9
4,0,9
3,6,9
8,6,9
7,6,9
0,6,9
5,6,9
7,0,9
3,6,9
3,6,9
7,0,9
3,6,9
7,0,9
7,0,9
3,6,9
8,6,9
0,6,9
8,6,9
7,6,9
3,6,9
3,6,9
8,6,9
7,0,9
7,0,9
3,6,9
7,6,9
7,6,9
1,6,9
7,0,9
3,6,9
8,6,9
3,6,9
0,6,9
5,6,9
7,0,9
7,0,9
7,0,9
7,0,9
7,6,9
4,6,9
7,0,9
3,6,9
7,0,9
2,6,9
7,0,9
8,6,9
5,6,9
7,0,9
4,6,9
8,6,9
3,6,9
7,0,9
7,6,9
7,0,9
3,6,9
7,0,9
3,6,9
7,0,9
4,6,9
7,0,9
3,6,9
3,6,9
7,0,9
4,6,9
0,6,9
7,0,9
3,6,9
3,6,9
3,6,9
0,6,9
7,0,9
8,6,9
3,6,9
3,6,9
3,6,9
4,6,9
4,6,9
3,6,9
3,6,9
7,0,9
4,6,9
3,6,9
7,0,9
8,6,9
3,6,9
3,6,9
5,6,9
7,6,9
7,0,9
2,6,9
7,0,9
3,6,9
2,6,9
2,6,9
1,6,9
4,0,9
3,6,9
7,6,9
3,6,9
7,0,9
8,6,9
4,6,9
3,6,9
7,0,9
4,6,9
3,6,9
8,6,9
3,6,9
3,6,9
4,6,9
3,6,9
7,0,9
7,0,9
4,0,9
2,6,9
2,6,9
4,6,9
4,6,9
3,6,9
7,0,9
2,6,9
3,6,9
2,6,9
4,6,9
4,6,9
3,6,9
2,6,9
3,6,9
3,6,9
4,6,9
3,6,9
7,6,9
3,6,9
5,6,9
7,6,9
3,6,9
3,6,9
7,0,9
3,6,9
8,6,9
3,6,9
4,6,9
7,0,9
3,6,9
8,6,9
5,6,9
8,6,9
4,6,9
0,6,9
5,6,9
4,6,9
7,0,9
3,6,9
3,6,9
4,6,9
2,6,9
8,6,9
7,0,9
7,0,9
3,6,9
