NN1:,0.7287
NN1p:,0.7355
NN2:,0.6471
NN2p:,0.7261
Para:,0.9796

Number of evaluation data: ,10000
Total number of correct results:,9796
Number of results when both subnetworks are right:,5383
Number of results when only network1 is wrong:,1844
Number of results when only network2 is wrong:,1941
Number of results when both subnetworks are wrong but the combined network is right:,628

Detailed results when both subnetworks are wrong:,
Parallel network,Network 1,Network 2
4,7,9
4,7,9
9,7,8
4,7,9
9,3,8
6,2,9
4,7,3
1,7,3
9,7,8
4,7,9
4,2,9
4,7,9
4,7,9
9,7,8
8,7,3
0,2,9
6,2,9
4,7,3
9,7,8
9,7,0
4,7,3
6,2,9
4,7,9
4,7,9
9,3,8
6,2,9
4,7,9
6,2,9
9,7,8
4,7,9
9,7,3
9,7,0
4,2,9
9,7,8
4,7,9
4,7,9
4,7,3
9,7,8
9,7,8
6,2,9
9,7,8
4,7,9
4,7,9
4,7,9
6,2,5
4,7,3
4,7,9
9,7,8
6,2,9
6,2,5
6,2,9
4,7,9
9,7,8
4,7,9
9,2,8
9,7,8
4,7,9
4,7,9
4,7,6
4,7,9
6,2,9
9,7,8
4,7,9
9,7,8
4,7,9
4,7,9
6,2,5
9,7,8
4,7,9
6,2,9
4,7,9
4,7,9
6,2,9
9,3,8
4,7,9
4,7,0
9,7,8
4,7,9
4,7,9
4,7,9
4,7,9
4,7,3
6,2,9
4,7,9
4,7,9
4,7,9
8,6,9
8,7,9
4,7,9
6,2,9
6,2,9
9,7,8
4,7,9
6,2,9
6,2,9
9,7,8
9,7,8
4,2,9
4,7,9
9,7,8
3,5,8
9,7,8
4,7,9
4,2,9
4,7,3
6,2,9
4,7,9
1,8,9
4,7,9
1,7,3
6,2,9
6,8,9
5,7,9
6,2,9
9,7,0
6,2,9
4,7,9
9,7,8
3,5,8
9,7,8
6,2,9
6,2,9
9,7,8
4,2,9
5,1,0
9,7,8
9,7,8
4,7,9
9,7,8
9,7,3
4,7,9
9,7,3
4,7,9
9,7,8
4,7,3
9,7,3
6,2,9
6,2,9
6,1,9
9,7,8
6,3,9
6,2,9
6,2,9
6,2,9
1,8,3
6,2,9
5,3,0
4,7,3
4,7,3
6,2,9
9,7,8
4,7,9
6,2,9
6,2,9
4,7,9
4,7,9
4,7,9
0,2,8
6,2,9
4,7,9
4,7,9
6,2,9
4,7,3
4,7,9
4,7,9
4,7,9
4,7,9
4,7,9
6,2,9
4,7,9
6,2,9
9,7,3
9,7,8
6,2,9
4,7,9
4,7,3
6,2,9
