NN1:,0.505
NN1p:,0.5494
NN2:,0.4946
NN2p:,0.6268
Para:,0.976

Number of evaluation data: ,10000
Total number of correct results:,9760
Number of results when both subnetworks are right:,2381
Number of results when only network1 is wrong:,3842
Number of results when only network2 is wrong:,3077
Number of results when both subnetworks are wrong but the combined network is right:,460

Detailed results when both subnetworks are wrong:,
Parallel network,Network 1,Network 2
6,3,5
6,3,5
6,3,5
6,3,9
6,3,5
6,3,8
6,3,5
6,3,8
6,3,8
6,3,9
6,3,5
6,3,9
0,3,4
6,3,9
6,3,9
6,4,5
6,3,5
6,3,9
6,3,8
6,3,8
2,7,9
6,3,8
2,3,9
6,3,5
1,3,9
6,3,9
6,4,5
9,3,7
6,3,8
6,3,5
6,3,8
6,3,8
6,3,9
9,3,7
6,0,5
6,3,8
6,3,5
6,3,9
1,3,9
6,3,8
6,3,8
6,0,5
6,3,5
2,3,9
4,5,7
5,3,3
6,3,8
6,3,8
4,5,7
6,3,9
1,3,4
2,3,9
6,3,5
6,3,8
6,3,5
6,3,5
5,9,3
6,3,4
7,3,9
0,9,8
6,3,9
6,3,9
6,3,5
4,3,7
4,5,9
6,3,9
7,3,9
5,9,7
6,3,5
6,3,5
6,3,5
6,3,5
6,3,8
6,3,8
1,3,9
6,4,4
0,9,9
6,4,5
6,3,8
2,3,9
6,4,4
6,3,4
6,3,8
6,3,5
6,3,5
6,3,5
6,3,5
2,3,4
6,3,5
6,3,5
6,3,8
6,3,5
6,3,5
6,3,5
6,3,9
7,3,4
6,3,9
6,3,5
6,3,5
2,7,9
6,3,5
6,3,5
6,4,5
6,3,9
6,3,4
6,3,8
6,3,8
6,3,5
6,3,9
6,3,8
4,3,7
6,3,5
6,3,8
6,3,5
6,3,8
6,3,9
6,3,5
6,3,8
6,4,5
6,3,5
6,3,5
6,0,4
6,3,5
6,3,5
6,3,8
4,3,9
6,3,5
6,3,9
6,3,5
2,3,1
6,3,8
6,3,8
6,3,4
6,3,8
6,3,5
6,3,9
6,3,8
6,3,8
6,3,8
6,3,9
6,3,4
6,3,8
6,3,4
6,9,5
6,3,4
6,3,8
1,3,3
6,3,8
6,3,8
6,3,5
6,3,9
6,3,5
6,3,5
6,3,8
6,3,5
6,3,5
6,3,8
6,3,8
6,3,8
6,3,8
1,3,8
6,3,5
7,3,9
2,3,8
1,3,8
7,3,8
2,3,8
2,7,3
6,3,5
2,7,8
6,3,5
2,7,4
6,3,8
1,3,4
6,3,9
6,3,9
6,3,5
6,3,5
2,3,9
6,3,5
6,4,9
6,3,8
6,3,5
4,3,9
6,3,5
2,0,3
6,3,5
6,3,5
6,9,5
6,3,5
6,3,9
6,3,8
2,7,1
1,3,8
6,3,5
6,3,8
6,3,9
2,3,4
6,3,5
7,3,4
5,9,3
6,3,4
6,0,5
6,3,5
6,3,5
6,3,8
6,3,8
6,3,4
6,3,8
6,4,5
6,4,9
4,3,1
6,3,9
6,0,5
6,3,9
6,3,9
6,3,5
6,3,5
6,3,5
6,3,5
6,3,5
2,3,3
2,7,9
6,3,5
2,3,9
6,3,9
6,3,8
6,3,5
6,3,8
6,3,5
2,7,9
6,3,5
6,9,4
6,3,8
6,3,5
5,7,3
6,3,8
6,3,5
6,3,8
