Accuracy on the validation data,0.793

Number of Type I results,67
Number of Type II results,1384
Number of Type III results,393
Number of Type IV results,6086

Ratio of Type IV results to correct results,0.7674653215636822

Details of Type IV results
Input index,rp,r1,r2
0,3,9,7
1,8,9,3
3,0,9,9
5,6,9,5
6,1,9,9
7,6,7,0
8,3,9,7
9,1,5,9
12,5,9,9
13,7,5,1
14,9,5,8
15,8,3,3
18,8,5,3
19,6,0,1
20,7,1,6
22,4,7,9
25,2,9,9
26,4,1,9
27,0,3,5
28,9,2,0
29,6,9,9
34,9,5,0
36,4,3,7
37,1,5,9
38,9,5,7
39,5,7,7
41,6,9,3
42,5,6,8
45,9,5,7
48,7,3,1
49,6,9,5
50,9,5,0
51,8,5,3
52,0,6,3
53,3,6,6
54,8,9,3
55,8,5,3
64,6,3,1
65,2,7,7
66,1,6,3
69,7,9,0
72,8,2,0
73,8,9,3
74,0,5,9
75,2,3,3
77,3,0,7
78,3,1,1
79,8,5,3
81,1,6,9
82,1,2,9
83,7,3,8
89,9,5,0
90,0,9,7
92,8,5,0
93,6,3,7
94,4,7,9
96,6,0,7
97,0,9,7
99,7,3,9
101,5,1,7
103,3,9,8
104,1,6,6
105,1,3,9
107,6,3,7
108,8,6,6
112,6,3,3
113,2,1,7
114,1,5,4
116,0,9,5
117,4,3,9
119,7,8,8
120,8,5,9
122,1,0,9
123,2,9,1
124,8,2,0
127,3,8,7
130,4,1,5
131,1,5,9
132,8,2,3
133,9,5,0
134,1,5,0
140,6,0,7
141,5,3,9
142,6,4,7
143,3,5,5
144,8,6,3
146,6,9,5
149,2,7,9
150,8,9,9
152,6,8,5
154,0,5,5
155,5,2,7
156,2,1,8
157,9,3,7
159,4,3,1
160,2,9,5
161,1,6,9
163,6,2,9
164,8,9,3
165,4,3,5
167,4,9,9
169,0,3,6
170,9,5,7
172,9,6,7
173,8,3,3
175,9,6,7
176,3,9,5
177,7,3,0
180,0,3,5
182,2,9,5
183,2,4,5
185,8,1,3
186,6,3,9
191,8,0,0
193,1,3,9
194,7,3,5
195,2,9,4
197,8,6,7
199,8,7,3
200,5,9,9
201,1,2,9
202,8,5,3
203,7,6,1
204,1,5,9
205,3,9,7
206,0,7,5
207,5,3,7
208,7,3,6
209,9,2,8
212,5,4,8
213,9,3,8
214,8,5,9
215,0,9,7
216,7,9,8
217,9,2,7
218,8,9,6
220,7,3,1
223,4,9,7
224,3,1,7
227,4,3,0
231,1,5,9
233,8,7,6
234,8,5,3
236,4,9,3
238,5,3,7
240,1,5,9
241,1,5,9
242,8,2,3
245,3,6,9
246,1,5,0
248,2,6,6
250,5,8,7
251,3,7,7
252,9,5,0
253,9,2,3
255,0,5,5
256,3,0,7
257,0,6,7
259,9,5,0
261,1,5,9
265,8,5,7
267,4,0,9
268,7,3,1
270,2,3,3
271,3,9,0
272,6,3,5
273,3,6,6
274,8,5,0
278,4,3,7
279,3,5,6
280,9,5,8
281,0,6,9
282,6,9,5
283,1,5,0
286,1,0,9
289,9,8,0
290,1,2,9
291,2,3,3
292,6,9,5
294,3,5,7
295,4,9,5
296,6,0,7
298,0,9,5
300,6,2,0
301,6,3,9
303,2,8,3
304,6,0,5
305,1,2,9
307,2,3,3
308,1,5,9
310,8,9,3
311,6,0,9
312,8,9,0
313,0,2,5
314,4,0,8
315,0,6,7
316,7,2,9
317,7,3,1
318,5,3,7
319,5,1,7
320,3,1,6
322,2,9,9
324,4,3,9
325,1,4,9
326,7,3,9
327,5,1,6
328,4,3,7
329,6,3,4
330,1,9,9
331,9,5,0
333,6,8,4
337,8,5,3
338,0,6,5
340,2,6,5
341,6,9,7
342,2,9,8
349,9,5,0
350,9,5,0
351,1,5,9
352,0,6,7
353,2,1,5
354,2,3,7
358,8,3,3
359,0,6,5
360,9,5,8
362,8,9,3
364,9,5,7
365,4,3,5
369,1,7,9
373,4,3,9
374,2,7,8
375,7,3,8
379,6,9,9
386,7,3,8
388,2,9,5
389,5,1,9
390,1,3,9
391,2,7,9
392,6,0,9
394,9,0,7
395,6,0,5
396,2,3,5
398,0,6,7
400,9,2,0
401,8,9,6
402,7,2,1
403,8,9,7
404,8,5,3
405,4,2,6
407,1,3,6
408,8,4,3
409,2,9,8
413,6,3,1
414,1,5,0
419,7,3,0
420,4,1,9
422,0,9,9
