Accuracy on the validation data,0.7845

Number of Type I results,36
Number of Type II results,232
Number of Type III results,781
Number of Type IV results,6796

Ratio of Type IV results to correct results,0.8662842574888464

Details of Type IV results
Input index,rp,r1,r2
0,3,7,9
1,8,0,9
2,8,7,9
3,0,7,4
4,6,1,8
5,6,7,9
6,1,2,9
8,3,2,9
9,1,0,4
10,0,7,9
11,9,7,0
12,5,2,8
14,9,7,4
15,8,2,3
16,5,2,9
17,7,2,4
18,8,2,2
19,6,7,4
20,7,3,9
22,4,7,9
23,9,7,7
25,2,0,4
26,4,2,8
27,0,7,9
28,9,7,7
29,6,3,3
30,6,7,7
31,5,2,9
33,5,2,9
34,9,7,7
38,9,7,4
39,5,2,9
41,6,1,4
43,6,2,8
44,0,7,9
45,9,0,4
46,3,2,5
49,6,3,4
50,9,7,4
51,8,0,4
53,3,2,9
54,8,7,2
55,8,7,4
56,7,3,5
59,6,7,8
60,7,9,1
62,6,7,4
63,3,0,2
64,6,2,8
65,2,7,9
66,1,7,4
67,2,6,9
70,2,7,4
72,8,0,4
73,8,0,4
75,2,7,9
77,3,2,2
79,8,0,9
80,8,0,4
81,1,7,4
82,1,7,9
84,2,7,9
88,8,7,4
89,9,7,4
90,0,7,4
91,3,2,9
92,8,0,4
93,6,7,9
94,4,7,8
95,6,2,8
96,6,7,4
97,0,2,9
98,0,7,9
100,4,7,8
101,5,2,0
102,6,2,3
104,1,0,9
105,1,0,4
107,6,7,4
108,8,7,2
109,7,2,4
110,4,3,1
111,0,2,9
112,6,7,4
114,1,7,9
115,3,7,9
116,0,7,9
117,4,2,2
118,2,7,4
120,8,7,2
121,3,7,4
122,1,7,7
123,2,7,9
124,8,0,3
125,0,7,4
126,8,7,4
127,3,2,4
129,2,7,9
130,4,7,9
131,1,7,2
132,8,7,7
133,9,7,4
134,1,7,9
135,2,7,9
136,9,0,4
140,6,2,8
141,5,2,2
142,6,0,9
143,3,2,9
144,8,0,9
146,6,3,9
148,5,2,9
150,8,0,2
151,9,7,7
152,6,7,4
153,0,7,9
154,0,7,9
155,5,2,8
156,2,7,9
157,9,7,4
159,4,7,8
160,2,7,9
161,1,7,9
163,6,7,8
165,4,7,5
166,8,0,4
168,5,7,4
169,0,7,5
170,9,2,4
171,9,7,4
172,9,7,4
173,8,0,2
174,9,7,4
175,9,7,4
